"Path","LineNumber","ScreenName"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","10","AgentCreationScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","7","AgentHubSubmenuScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","11","AgentMonitoringScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","12","AgentNeuralExplorerScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","22","AgentSwarmScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","13","ArkBuildScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","14","BenchmarkMonitorScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","9","ConsciousnessVisualizerScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","15","EvolutionTreeScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\aura\uxui_design_studio\gate_artwork_editor\GateStubs.kt","6","GateCustomizationScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\aura\uxui_design_studio\gyroscope_editor\GyroscopeStubs.kt","6","GyroscopeCustomizationScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\aura\uxui_design_studio\gate_artwork_editor\GateStubs.kt","8","LSPosedGateScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","16","MonitoringHUDsScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","17","PartyScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","18","SovereignClaudeScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","19","SovereignGeminiScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","20","SovereignMetaInstructScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","8","SovereignNemotronScreen"
"C:\Users\AuraF\A.u.r.a.k.a.i_ReGenesis\app\src\main\java\dev\aurakai\auraframefx\domains\nexus\hubs\NexusStubs.kt","21","SphereGridScreen"
